 1	 1	0.9992
-1	-1	0.9995
-1	-1	1.0000
-1	-1	0.9993
 1	 1	0.9992
-1	-1	0.9989
-1	-1	1.0000
 1	 1	1.0000
 1	 1	1.0000
 1	 1	0.9999
-1	-1	0.9995
 1	 1	0.9996
-1	-1	1.0000
-1	-1	1.0000
-1	-1	0.9968
-1	-1	1.0000
 1	 1	1.0000
-1	-1	1.0000
-1	-1	0.9999
 1	 1	1.0000
 1	 1	0.9998
-1	-1	1.0000
-1	-1	1.0000
 1	 1	1.0000
 1	 1	0.9984
 1	 1	0.9981
 1	 1	1.0000
 1	 1	0.9972
 1	 1	1.0000
 1	 1	0.9993
 1	 1	0.9998
-1	-1	0.9988
 1	 1	1.0000
 1	 1	0.9948
-1	-1	0.9982
 1	 1	0.9995
 1	 1	0.9985
-1	-1	0.9971
 1	 1	0.9999
 1	 1	0.9999
-1	-1	1.0000
-1	-1	0.9998
-1	-1	1.0000
-1	-1	1.0000
 1	 1	0.9972
 1	 1	1.0000
-1	-1	0.9972
 1	 1	1.0000
 1	 1	1.0000
 1	 1	1.0000
 1	 1	1.0000
-1	-1	1.0000
-1	-1	1.0000
-1	-1	1.0000
 1	 1	1.0000
-1	-1	0.9999
 1	 1	0.9985
 1	 1	0.9994
-1	-1	1.0000
-1	-1	0.9984
 1	 1	1.0000
-1	-1	1.0000
 1	 1	1.0000
-1	-1	0.9991
 1	 1	0.9998
-1	-1	1.0000
 1	 1	0.9998
 1	 1	1.0000
 1	 1	1.0000
 1	 1	1.0000
 1	 1	0.9995
-1	-1	1.0000
 1	 1	0.9986
 1	 1	1.0000
-1	-1	0.9998
 1	 1	1.0000
 1	 1	1.0000
 1	 1	1.0000
 1	 1	0.9999
-1	-1	1.0000
 1	 1	1.0000
 1	 1	0.9972
 1	 1	1.0000
 1	 1	1.0000
-1	-1	1.0000
-1	-1	1.0000
-1	-1	0.9998
 1	 1	1.0000
-1	-1	1.0000
 1	 1	0.9999
-1	-1	1.0000
-1	-1	0.9994
-1	-1	1.0000
-1	-1	0.9993
 1	 1	0.9991
-1	-1	1.0000
 1	 1	0.9989
 1	 1	1.0000
 1	 1	1.0000
-1	-1	0.9997
 1	 1	1.0000
-1	-1	1.0000
-1	-1	1.0000
 1	 1	1.0000
-1	-1	0.9997
-1	-1	1.0000
 1	 1	1.0000
 1	 1	1.0000
-1	-1	1.0000
 1	 1	1.0000
-1	-1	1.0000
-1	-1	0.9994
 1	 1	0.9993
-1	-1	0.9972
-1	-1	0.9947
 1	 1	0.9873
 1	 1	1.0000
 1	 1	0.9983
 1	 1	1.0000
-1	-1	0.9999
-1	-1	1.0000
 1	 1	1.0000
 1	 1	1.0000
-1	-1	1.0000
 1	 1	1.0000
 1	 1	1.0000
-1	-1	1.0000
-1	-1	0.9998
 1	 1	1.0000
 1	 1	1.0000
 1	 1	0.9997
 1	 1	0.9995
 1	 1	0.9979
 1	 1	1.0000
-1	-1	1.0000
-1	-1	0.9993
 1	 1	1.0000
 1	 1	0.9967
 1	 1	1.0000
-1	-1	1.0000
-1	-1	1.0000
-1	-1	1.0000
-1	-1	0.9989
 1	 1	1.0000
 1	 1	0.9993
 1	 1	0.9991
-1	-1	0.9999
-1	-1	0.9953
 1	 1	1.0000
-1	-1	1.0000
 1	 1	0.9994
 1	 1	0.9904
-1	-1	1.0000
-1	-1	0.9969
 1	 1	1.0000
-1	-1	1.0000
-1	-1	0.9998
 1	 1	1.0000
-1	-1	1.0000
 1	 1	0.9987
-1	-1	1.0000
 1	 1	0.9996
 1	 1	1.0000
-1	-1	1.0000
 1	 1	0.9994
-1	-1	0.9979
-1	-1	1.0000
-1	-1	0.9997
 1	 1	1.0000
-1	-1	1.0000
 1	 1	1.0000
-1	-1	0.9969
-1	-1	1.0000
 1	 1	1.0000
-1	-1	1.0000
 1	 1	1.0000
 1	 1	0.9933
 1	 1	1.0000
-1	-1	0.9995
-1	-1	1.0000
 1	 1	0.9992
 1	 1	0.9998
 1	 1	0.9987
-1	-1	1.0000
-1	-1	1.0000
 1	 1	1.0000
 1	 1	1.0000
-1	-1	1.0000
 1	 1	1.0000
 1	 1	1.0000
-1	-1	0.9995
-1	-1	1.0000
-1	-1	1.0000
 1	 1	0.9997
-1	-1	0.9994
-1	-1	1.0000
 1	 1	1.0000
-1	-1	1.0000
 1	 1	0.9999
 1	 1	1.0000
 1	 1	1.0000
-1	-1	0.9999
-1	-1	1.0000
-1	-1	1.0000
 1	 1	1.0000
 1	 1	0.9991
-1	-1	1.0000
-1	-1	0.9992
-1	-1	1.0000
-1	-1	0.9992
-1	-1	1.0000
 1	 1	0.9996
-1	-1	1.0000
 1	 1	0.9993
 1	 1	0.9995
 1	 1	1.0000
-1	-1	1.0000
-1	-1	1.0000
 1	 1	1.0000
 1	 1	1.0000
-1	-1	1.0000
-1	-1	1.0000
-1	-1	1.0000
-1	-1	1.0000
-1	-1	0.9963
-1	-1	0.9990
-1	-1	0.9997
 1	 1	1.0000
-1	-1	1.0000
-1	-1	1.0000
-1	-1	0.9995
 1	 1	1.0000
-1	-1	1.0000
-1	-1	0.9987
 1	 1	1.0000
 1	 1	1.0000
-1	-1	1.0000
 1	 1	1.0000
 1	 1	0.9999
-1	-1	1.0000
 1	 1	1.0000
-1	-1	1.0000
-1	-1	0.9936
 1	 1	0.9996
 1	 1	1.0000
-1	-1	1.0000
 1	 1	1.0000
 1	 1	1.0000
 1	 1	0.9998
 1	 1	1.0000
-1	-1	1.0000
 1	 1	0.9989
-1	-1	1.0000
 1	 1	1.0000
 1	 1	1.0000
-1	-1	1.0000
-1	-1	0.9991
 1	 1	1.0000
-1	-1	1.0000
 1	 1	1.0000
 1	 1	1.0000
-1	-1	0.9995
 1	 1	1.0000
-1	-1	0.9999
 1	 1	0.9987
-1	-1	1.0000
 1	 1	0.9994
-1	-1	1.0000
 1	 1	1.0000
 1	 1	1.0000
-1	-1	0.9998
-1	-1	0.9969
-1	-1	0.9974
-1	-1	1.0000
-1	-1	1.0000
 1	 1	1.0000
-1	-1	1.0000
-1	-1	0.9998
